Cluster,Organisation,Main Industry,Main Reason
0,Wise,Finance and FinTech,IPO
4,Wish,Software & Technology,Bankrupt
5,WM Motor,Automotive and Transportation,Bankrupt
2,Wolt,Food and Beverage,Bankrupt
1,Woowa Bros,Media and Entertainment,Acquired
2,Workday,E-Commerce and Retail,Bankrupt
2,Workday Adaptive Planning,Finance and FinTech,Bankrupt
2,X (formerly Twitter),Media and Entertainment,Bankrupt
0,Xiaomi,Software & Technology,IPO
5,Xpeng Motors,Automotive and Transportation,Bankrupt
4,Yandex,Software & Technology,Bankrupt
2,Yatsen Holding,Fashion and Beauty,Bankrupt
2,Youdao,Education and EdTech,Bankrupt
0,Zalando,E-Commerce and Retail,IPO
2,Zenefits,Healthcare & BioTechnology,Bankrupt
2,ZeniMax,Media and Entertainment,Bankrupt
2,Zeta Global,Media and Entertainment,Bankrupt
0,Zhihu,Media and Entertainment,IPO
2,Zhong An,Finance and FinTech,Bankrupt
2,ZipRecruiter,E-Commerce and Retail,Bankrupt
0,Zomato,Food and Beverage,IPO
0,Zoom,Software & Technology,IPO
1,Zoox,Automotive and Transportation,Acquired
4,Zscaler,Software & Technology,Bankrupt
1,zulily,E-Commerce and Retail,Acquired
4,Zuora,Software & Technology,Bankrupt
4,Zymergen,Software & Technology,Bankrupt
0,Zynga,Media and Entertainment,IPO
0,36Kr Media,Media and Entertainment,IPO
4,Argo AI,Software & Technology,Bankrupt
0,Cambricon,Software & Technology,IPO
0,CATL,Software & Technology,IPO
0,e-Shang Redwood,Real Estate and Property Management,IPO
1,eFront,Software & Technology,Acquired
4,Essential Products,Software & Technology,Bankrupt
0,Facebook,Software & Technology,IPO
2,Freshly,Food and Beverage,Bankrupt
0,Gojek,Software & Technology,Merger
0,HeadSpin,Software & Technology,Devalued
4,Hike Messenger,Software & Technology,Bankrupt
0,Jia.com,E-Commerce and Retail,IPO
1,Mobike,Software & Technology,Acquired
0,Ninebot,Manufacturing,IPO
0,Paytm,Software & Technology,IPO
1,Peak Games,Software & Technology,Acquired
0,Pinduoduo,E-Commerce and Retail,IPO
2,Proteus Digital Health,Healthcare & BioTechnology,Bankrupt
2,Quikr,E-Commerce and Retail,Devalued
0,ReNew Power,Energy and CleanTech,Merger
0,"Roku, Inc.",Media and Entertainment,IPO
1,Skype,Software & Technology,Acquired
1,Solstice,Energy and CleanTech,Acquired
0,Square,Software & Technology,IPO
0,Stitch Fix,E-Commerce and Retail,IPO
0,Three Squirrels,Food and Beverage,IPO
0,Tokopedia,Software & Technology,Merger
0,Truecaller,Software & Technology,IPO
4,Tuandaiwang,Software & Technology,Bankrupt
0,Twitter,Media and Entertainment,IPO
1,Zimi,E-Commerce and Retail,Acquired
